ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
57	-0.0112502	-0.0167943	0.00604229	0.040491	-0.00449389	-0.0589381	0.00480395	-0.0529152	0.0482451	0.0332798
58	0.00210679	0.117169	-0.00552102	0.0775448	-0.028473	-0.095103	-0.073732	0.0116278	0.0319506	-0.0930344
59	0.0271334	0.0264477	0.00894943	-0.0212136	0.0200883	-0.05427	0.0995207	0.0371126	-0.0421313	0.0599802
60	-0.0275247	-0.0138413	0.0148333	-0.0203685	-0.0078967	-0.0270391	0.00318116	0.00282505	-0.0670329	-0.052194
61	-0.00872795	-0.0300718	-0.00673476	0.000822481	-0.0487948	0.0309121	-0.0132014	-0.0270879	-0.00254904	0.00266214
62	-0.00351818	-0.00982522	0.0270384	-0.0224829	0.0717747	-0.0250219	0.00875905	-0.0102953	0.032573	-0.00199165
63	-0.0278916	-0.0538254	-0.058012	-0.0203796	-0.0101073	-0.0155311	0.0122065	-0.0247118	-0.019413	-0.0454293
65	-0.0155585	0.0280637	0.0235039	0.00352744	-0.0905831	-0.0574583	0.0322145	0.0199606	0.0173979	-0.0140535
66	-0.0126903	-0.00670876	-0.0028712	0.0125124	0.0273243	-0.00231063	0.0185593	-0.000823462	0.0169425	-0.053522
67	-0.0179097	-0.0233922	-0.027009	0.0226165	0.0307694	0.055253	0.012408	0.0525718	-0.0347024	0.0875007
68	0.0403164	-0.00575343	-0.0619862	0.12027	-0.0564749	-0.0481593	0.0574096	0.117627	-0.12245	0.119355
69	0.0652963	0.130465	0.0585641	-0.284811	-0.121411	-0.218156	0.174073	-0.47787	0.0436361	0.235012
70	-0.00809354	-0.0245029	-0.0163871	-0.0475024	0.0122837	0.0305578	-0.0111802	0.0236116	-0.035542	-0.0294047
71	-0.0212394	-0.00860947	0.00258157	-0.04575	-0.0289835	0.028324	0.0250546	0.019253	-0.0472481	-0.0930633
72	-0.00744384	0.0282007	-0.00148968	0.0378318	0.0171688	0.0482578	-0.0514016	-0.050088	0.0318829	-0.00762162
73	-0.0199041	0.0338622	0.022373	0.0194713	0.0314238	-0.00795045	-0.0012005	0.0210171	-0.0341131	-0.0473639
74	-0.0154046	0.014625	0.0118517	0.00352775	-0.0327299	0.0947454	-0.0742443	0.0418079	-0.05258	0.0138851
75	0.112846	0.0297549	-0.0838099	0.0119403	0.0575697	0.0226552	0.00930315	-0.00168511	0.027938	0.106714
76	-0.00251019	-0.00538003	-0.0151283	-0.0464371	0.00465255	-0.0210661	0.0127082	-0.0250649	-0.017201	-0.036785
78	-0.0407922	0.0348473	-0.00295825	0.0303885	0.0349874	-0.0426279	0.0255106	-0.0259379	0.0102449	-0.0410139
79	-0.0165081	-0.00741054	0.0223299	-0.0354871	0.0207201	0.0527742	-0.00509048	0.0299079	-0.0537278	0.0704659
80	-0.0363393	-0.0172895	0.0116485	0.0150451	-0.0275802	-0.0738488	-0.0642368	-0.0288236	0.0257177	-0.0285617
81	-0.0120881	0.00830043	-0.0120255	-0.00274209	-0.0127839	0.0171378	0.0370094	-0.0127485	0.0126689	0.0114401
83	0.322014	0.0963593	-0.316806	0.296788	-0.188305	0.257752	0.251081	-0.157597	-0.0308192	-0.0503791
84	0.00246545	0.0112909	-0.0242405	-0.00525676	-0.0385429	0.0451785	-0.052605	0.00793648	-0.0129675	-0.00436285
85	-0.0117515	-0.022837	-0.021315	-0.00620326	0.0252439	0.0749241	0.0244704	0.00377183	0.0212212	0.0499727
86	-0.00733614	0.0373185	-0.0133809	0.00554034	0.0156532	0.0291793	-0.0105112	-0.0120615	-0.0102239	0.0202914
87	0.155449	-0.0616354	-0.0929921	0.00451238	0.031195	0.0057158	-0.00103929	-0.0156559	-0.0269543	0.040307
88	-0.0143226	0.0260072	-0.0543438	-0.0112662	0.00240515	0.0325709	0.000996899	0.0020302	-0.0167544	0.00984113
89	-0.0107914	0.0128985	0.0452491	0.0431819	0.026003	0.0108792	0.047643	0.0173067	0.0146503	-0.0310518
90	0.00437497	-0.0566744	0.0295584	0.0144883	-0.0245431	-0.0429355	-0.032395	-0.0182045	0.0127954	0.00473678
91	-0.0111692	0.00387947	-0.00217667	-0.0226074	0.0456962	-0.0449967	-0.00779409	-0.00329238	-0.0174922	0.0126556
92	-0.0100483	-0.034154	0.0021207	-0.0249023	0.00532973	0.0316003	-0.0809136	-0.0241519	0.0199469	-0.0180743
93	-0.0226169	0.0137187	0.00353265	-0.01674	-0.0412593	-0.00986255	-0.0697828	0.00425334	-0.0329967	0.0458356
94	0.00652682	0.0471415	0.00140183	0.0399688	0.0355818	0.0138243	-0.0337288	0.0294152	-0.0569212	-0.00927716
95	-0.00714933	0.00542475	-0.0363269	0.00287522	0.0494857	0.00693815	-0.00327619	-0.0449217	-0.0296409	-0.0177633
96	-0.00320349	-0.0323994	-0.0269826	9.20E-06	-0.0705935	-0.0507206	-0.017306	0.0438223	0.0420283	0.0319247
97	0.0382546	-0.0301249	-0.0111176	-0.00599158	-0.0546705	-0.00486287	0.113834	0.020014	0.0278359	0.0394457
98	-0.00158511	-0.0113912	-0.0564634	0.0352165	-0.00511093	-0.00821915	0.0593586	0.0300773	0.00080617	0.0236742
99	-0.0244095	-0.020386	-0.061199	0.0179796	-0.071283	0.039039	0.0466283	-0.0419597	-0.0592413	0.0186296
100	-0.0182471	-0.00877031	0.0507409	0.0640867	-0.0139247	-0.000564906	0.00595751	0.00393523	-0.0319522	-0.0494612
