"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X1" 9.318634658 7.668674432 6.707533756 6.983344413 15.61309329 7.659431881 7.269527903 7.063398371 6.936247972 7.831231985 6.877846722 9.996527693 6.968704229 7.300259414 10.13971776 12.65151447 6.038983981 7.086090656 7.169428626 7.22472839 7.166010444 7.573410336 7.20972494 7.073860745 7.510882333 7.040214962 5.704285241 14.32165947
"X2" 9.30526787 7.761282992 6.368613772 5.157065378 15.66210492 8.955248379 7.477753532 6.950568325 7.078081747 8.500150302 6.865247324 8.908591816 7.120964031 7.175166508 9.855213935 12.48322806 6.122986962 6.921457698 7.158846962 7.304103752 7.289168505 7.998474517 6.97148989 7.131992254 7.676430562 6.936582207 5.675388554 14.43588196
"X3" 8.698269098 7.510522318 6.280292697 3.980131213 15.1665431 6.88567741 5.588299038 7.048418286 7.036860503 7.836305255 6.840545479 8.1881383 7.036476091 7.12039388 8.129238789 12.33875547 6.292664243 7.097209566 7.136865064 7.258279969 7.262792117 7.597523176 7.295188505 7.037829377 7.56067509 6.972764631 5.719487115 13.27698653
"X4" 8.99609584 7.691865253 6.317406209 4.890454753 15.66710461 8.198443659 6.642922614 6.995454371 7.143960697 8.319514197 6.946489382 9.874904387 7.026269315 7.161111023 9.769019586 12.07959212 6.22598076 7.136303795 7.220364306 7.257772753 7.2111137 7.657690041 7.045795469 7.215184131 7.612547732 6.930235478 5.688532667 14.26956976
"X5" 9.167272674 7.764335913 6.488706703 5.178658579 15.65840965 8.906567106 7.254353929 6.980896448 7.21424591 8.790910683 6.856422081 10.27043294 7.092273542 7.167636199 10.16512415 11.92359937 6.186215544 7.02905388 7.137967314 7.231144974 7.161581871 8.100456173 7.00782773 7.120128807 7.640131982 6.973277062 5.683922289 14.47431115
"X7" 9.063607357 7.747046968 6.39228945 4.912568843 15.40003881 7.756542546 6.923899726 6.98697598 7.116761302 8.737094347 6.867412013 10.22198053 7.013837989 7.174871336 9.493881028 11.63289759 6.317243159 6.97930806 7.175502469 7.277228711 7.195076406 7.500925913 7.088235239 7.150822978 7.682604597 7.103647261 5.664375759 14.18510789
"X8" 9.605161982 7.45031933 6.57858295 4.453954233 15.59157415 8.560806294 6.528673467 6.800939215 7.344152775 9.146507531 6.872754632 8.926246433 7.018529021 7.196051706 9.635904467 12.92286172 6.544751296 7.065821257 7.181500572 7.1505623 7.16294339 7.402495485 7.090732679 7.178209929 7.59845182 7.09632679 5.813504297 14.34691223
"X9" 9.253596061 7.655780413 6.510193141 7.01719236 15.55323545 8.700570157 7.611188401 6.991299094 7.267602404 8.631456297 6.857768284 10.87489732 7.0816982 7.212318887 9.829020082 12.28342091 6.377257219 6.970474976 7.192332898 7.245576075 7.165515531 6.746019358 7.007150166 7.159950809 7.727943145 6.985983508 6.273435935 14.27592148
"X10" 9.407400672 7.599681615 6.871706496 7.462422379 15.60724684 9.081534085 7.127189479 6.995743671 7.661156031 8.943687166 6.855423714 10.12125054 7.039620634 7.093541432 10.17630054 12.26742538 6.242356133 6.988862302 7.082685314 7.286945446 7.177030591 7.511294479 7.037121815 7.051605737 7.541422724 6.938181843 5.692925446 14.2845037
"X11" 9.043288231 7.699879565 7.959356387 9.132095093 15.55603458 8.197798133 7.74975032 7.056212665 7.046867353 8.698820789 6.906285373 11.83656861 7.031068842 7.617062223 9.814928075 12.66537747 6.355579018 7.060861135 7.234458651 7.290795009 7.242783665 7.371990149 7.050392306 7.217721612 7.629858142 7.181674516 5.817210363 14.2776135
