"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X2" 8.954774575 7.458137608 10.89945421 10.2696378 9.694369251 9.597765735 8.021089037 6.96543155 6.993869655 9.418999851 6.984938813 12.61176278 6.980215634 7.359130974 7.928244683 13.18390533 7.112336643 7.094523274 7.153324033 7.181511106 7.088008409 6.568360973 7.099474346 7.11144233 8.501592003 7.062544353 5.958347479 11.15581841
"X3" 8.561535437 7.368820894 10.36858714 10.77214738 9.272515639 9.808562738 8.024569823 7.031057958 6.908339207 12.38369705 6.861286144 13.61343674 6.9727543 7.617634763 7.83202661 13.60909687 6.990756018 7.037892352 7.265759908 7.286629303 7.212611873 6.551762401 7.163297933 7.113683131 8.993289865 7.037105226 5.754215307 12.90378672
"X57" 10.74888211 7.214491297 11.16079425 10.78047677 14.61212296 10.54964409 9.110910988 7.19580953 8.054331441 10.19764965 6.810963223 13.43798828 6.997675406 7.639713944 8.406134976 12.93961646 7.37516293 7.058848537 7.309081559 7.183259443 7.136480399 6.879420658 7.250174372 7.092187952 8.08487774 7.024112635 5.894705946 11.89762497
"X58" 8.888177251 7.290713493 10.13340025 10.06204281 13.03302119 10.32250321 7.649023009 6.986150403 7.083338761 8.870239025 6.878577336 12.59705424 7.080417859 7.529825334 8.245897269 12.41398382 7.029466924 7.061624933 7.27636377 7.171094738 7.252740441 7.065245414 7.016506585 7.221513139 8.221838867 6.926785059 5.81906803 11.00531939
"X59" 10.94658853 7.612915545 10.2587253 10.57119819 15.00855613 10.78233507 8.944190728 6.980228786 7.764439784 11.52932431 6.845673527 12.99196794 7.029527589 7.769592686 8.671074948 12.82563919 7.480655427 7.065435441 7.172450215 7.315053291 7.19021287 6.580716786 7.125415861 7.097638976 8.139965813 6.980526552 6.49591413 13.2134958
"X60" 10.06751535 7.409810516 10.85581936 10.35547835 13.9913714 10.46726423 7.84496929 6.925243566 7.027896948 9.059952363 6.920411306 13.09032362 7.005646653 8.188994398 7.590820727 12.64258846 6.930517898 6.983324921 7.1588492 7.349163255 7.125163121 6.455620592 7.038229911 7.098630037 8.202835601 6.911676178 5.905568326 11.46173767
"X61" 9.242016049 7.258721104 11.32705121 10.7861066 12.86095188 10.49245533 8.609934977 7.021693127 7.046349964 9.21078454 6.937992661 13.72774835 7.025767485 9.200061607 8.043772901 12.92578562 7.011796356 7.006047027 7.236518048 7.234068321 7.176578112 6.483932444 7.108828612 7.154542059 8.040193493 6.99195557 5.961701476 11.23030992
"X62" 8.310244826 7.358108868 10.28224175 10.89383529 12.67237342 9.928294524 6.754048184 6.971534047 7.101462799 9.507857699 6.953958546 12.76222923 7.135613545 7.378798063 7.882546877 12.50442076 7.273255957 7.076919095 7.184730311 7.167760993 7.137003707 7.080337158 7.104483863 7.073385426 8.232553336 7.006616474 5.851333935 11.32607452
"X63" 10.67888879 7.564204222 9.991622692 10.18432097 14.82492386 10.49836789 8.302744601 6.962915849 7.609879673 10.15266991 6.882071606 12.48021027 7.095783048 7.966031931 7.905127779 12.61028951 7.287934746 7.01041581 7.151088154 7.099218284 7.28047909 6.733958166 7.039546353 7.078898736 8.157058342 6.941275085 5.767698974 12.03136051
"X64" 9.534264492 7.274207577 10.42220539 10.6349374 13.28181825 10.17862747 7.44976115 6.988763664 6.946350772 9.645534539 6.850918446 13.04549813 7.137681443 7.417440885 7.857915589 12.63007178 7.187849849 7.048603194 7.113601337 7.286105578 7.235823691 6.503676162 7.146084957 7.071146005 8.536351615 6.870018243 5.708294021 11.78029602
