"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X1" 10.98482876 7.081548715 7.380794786 9.909682084 9.015812287 7.419165841 8.34702251 7.09741018 7.193794759 8.78451677 6.859482215 8.393219412 7.052783265 7.3389351 9.20407906 12.38023321 7.021143285 7.033273172 7.189647166 7.067908574 7.063353143 7.195650105 7.16740314 7.075251891 7.742697948 7.252714708 6.907557222 7.531836248
"X2" 10.35425561 7.113291344 7.58552959 9.777519306 11.42897009 8.820666653 9.029361221 7.069592048 7.031367364 8.799397924 6.760808339 9.286804693 7.037032416 7.553944629 8.925146132 12.87261591 7.002591716 6.839838607 7.227411687 7.120064971 7.087419468 7.342341304 7.128195741 7.104430244 7.229410911 7.197686011 7.140192227 7.861495641
"X3" 12.51895288 7.404275462 7.080389484 10.01579771 13.42543477 8.774388724 8.852258405 6.930068671 7.08080569 7.83933142 6.812568576 10.02693858 7.333739841 6.707189775 8.841882502 12.29854924 6.744697794 7.015900121 7.280090557 6.993364116 7.366917456 7.61306999 7.191200804 7.032687718 7.189574943 7.064322331 7.273328163 12.88148777
"X4" 10.12045273 7.331174566 7.256870446 9.865305151 11.47885913 9.604053923 8.85540317 7.027850505 6.949673829 8.250887327 6.794926267 9.917595136 7.054986202 6.63357754 9.368392275 12.95987353 8.044607878 7.026625772 7.258164884 7.092359943 7.345146324 6.927485632 7.043476023 7.004122452 7.00595315 7.096524489 6.764043293 7.590691613
"X5" 9.642437777 7.476651534 7.570155062 10.14772835 9.791768023 8.927734798 10.26631428 6.927008303 7.167382302 8.296554386 6.877256533 11.00587969 7.039589966 6.684168954 8.461602879 13.05409322 7.634933349 7.038848546 7.117718495 7.283668733 7.343558798 7.128792382 7.05090773 7.007318747 7.489410168 7.075995879 7.177773298 7.149465825
"X6" 9.921662434 7.315583753 7.087410609 9.66268391 9.096109282 8.534088946 9.029095113 7.017962991 7.118818104 9.330257235 6.955781531 9.352819609 7.018127984 6.816976647 8.8585177 12.93880025 7.041489175 7.055370538 7.183758774 7.243974934 7.024239294 7.41954909 7.18229916 7.025406922 7.654898295 7.084628866 7.045492014 7.706780453
"X7" 10.07991163 7.154453339 7.314983524 9.923509237 9.475354703 8.525569873 9.14573732 6.889011557 7.065246072 8.607144226 6.876248983 10.70197243 7.010271556 9.2125524 9.051334725 12.65907333 6.787530181 7.010303827 7.072026202 7.534666888 7.456332657 7.314883891 7.497480136 7.023719741 7.824069263 7.095806808 8.083648514 7.131121796
"X8" 10.77866493 7.298848366 8.104238043 10.80942954 8.679644425 7.404941477 10.1347185 7.015979483 7.326705359 8.515379272 6.824972451 10.47662819 7.054948287 7.923914445 8.712637066 12.85938704 6.977075334 6.99137452 7.435561033 7.123303495 7.523285436 7.037173145 7.005952872 7.072714077 7.641869816 7.150779305 7.186764977 7.12301644
"X9" 9.956162713 7.030670672 7.168257128 9.286327303 9.227511876 7.194536929 7.79278179 6.984036244 7.498117603 9.004702014 6.951673101 8.652813957 7.137023417 6.694597046 9.154724131 12.65469996 6.941951357 7.049707424 7.116252612 7.124205542 7.255788507 7.305345908 7.040503522 7.069971401 7.709256572 7.148601939 7.054715467 7.143355253
"X10" 9.388442132 7.057789883 6.683657855 9.134602982 9.668979723 7.244822105 7.80415217 6.975745079 7.427013343 9.011314525 6.892787669 9.504549507 7.018277295 6.629965719 8.55810031 12.96900589 6.863658996 6.991754199 7.106291873 7.455219294 7.387204387 6.748826078 6.995713431 7.031058434 8.470305439 7.169631679 7.239664546 7.121007963
"X11" 9.976187234 7.083713763 7.160305438 10.08364193 9.231187364 7.475435325 8.209061247 6.957168871 7.218349236 8.367938592 6.891437277 9.577395608 7.042033813 6.521397951 9.506334084 12.91396092 7.150639863 7.507880223 7.095909207 7.029072879 7.172864286 7.670386695 7.115118035 7.072986808 7.792159432 7.12071801 7.380820593 7.059524723
"X12" 10.467562 7.048674438 7.205473391 10.21698378 9.898167003 8.146514277 8.042708599 7.102831965 7.30052819 9.401894557 6.835248564 9.195924855 7.085507383 6.571905769 9.300026122 13.08205404 7.097160101 7.089947413 7.27870154 7.178661281 7.269195302 7.147267455 7.109776983 7.11468114 7.674788324 7.176307953 7.171647159 7.203998668
"X13" 10.16969752 7.359908653 7.177050298 9.918042124 9.139740591 7.258457728 8.171312919 6.991847102 7.3546671 9.262243936 6.851621064 9.106050472 7.027652643 6.658714859 8.773803449 12.7471191 6.864996831 6.997441443 7.152397733 7.464066382 7.236391174 6.782265542 7.099483138 7.001962596 8.482811204 7.159019852 7.153601128 7.30494405
"X15" 10.26347542 7.295899411 7.179146525 10.21248991 8.604822823 7.245459774 8.940002238 6.994791576 7.444828143 7.952355998 6.813146855 8.43546789 7.00730097 6.624283217 9.331961984 12.35927202 7.099669741 7.255824856 7.33891263 7.186173658 7.126922392 7.056462001 7.156651292 7.068121955 7.729687172 7.019574463 7.362939 7.110215638
"X17" 9.599720758 7.330860979 7.200314858 9.336058969 8.495374383 7.862314805 8.249977096 6.990719961 7.102993545 9.420473458 6.92613639 9.984077921 7.191700862 6.66081287 8.680747818 13.19650266 7.57141481 7.00791081 7.118281719 7.355536353 7.072495796 6.990215134 6.996916909 7.092485635 7.646546714 7.088816287 7.09945215 7.086880432
"X18" 9.542192785 7.215914957 7.136511998 8.985854185 10.39571111 8.576229222 8.417512415 6.889806795 7.34716155 8.472687049 6.784778803 9.838151958 7.092082753 6.523617419 7.932528864 12.86041755 6.941915049 6.985418036 7.102321054 7.026880251 7.312991319 7.38086958 7.147005701 7.082099258 7.87068126 7.135137406 6.83306473 7.143804545
"X19" 10.06206018 7.59814321 6.965264579 9.516626667 9.587586059 7.810746382 9.298523432 6.961245732 7.029116288 8.088133316 6.91305183 10.54474457 7.009025603 6.707311487 8.377637124 12.79329596 7.307032833 7.0346339 7.216189736 7.108320125 7.330557216 6.764044103 7.359755942 7.079974574 7.571826467 7.093125383 6.796558964 7.110590348
"X20" 9.762424087 7.091454582 7.102818441 9.467266678 8.996905398 8.173017994 8.954367244 7.820312676 7.139130994 8.805321103 6.905767801 10.1589152 7.150075725 7.5528768 8.157002189 12.72848504 6.917161083 7.037601993 7.123138844 7.179322421 7.285707167 7.941509381 7.128909114 7.026805117 7.65027361 7.153065622 7.699703005 7.224670408
"X21" 9.777391356 7.18411407 7.170350862 8.602999619 9.419494588 7.458772908 8.768908311 6.843985401 7.873363413 8.254444175 6.889723003 9.328211448 7.040701319 7.639954823 8.574066766 12.95693652 7.431471162 7.048462123 7.446882359 7.100645903 7.21650009 8.113493261 7.013510419 7.032640236 7.534329027 7.045032308 7.555006843 7.126706352
"X22" 9.863830421 7.388522702 7.132365638 9.385718275 10.23454024 7.993423841 8.532229235 6.972061507 7.43458147 9.041768592 6.84661785 9.007779156 7.104626811 6.806366078 9.070745684 12.68233488 6.960009317 7.033465082 7.294212924 7.080547842 7.142103396 6.744147972 6.997544993 6.996804304 7.839059871 7.134487383 7.19874631 7.181816199
"X23" 9.803745379 7.058124809 7.093135762 8.597993979 9.542466675 8.704394095 8.400961804 6.955569906 7.459073508 7.843153597 6.887784814 9.077620613 7.133133607 6.357453918 8.123724118 12.69325981 6.903129987 7.025081301 7.137880724 7.11468685 7.326534668 6.718244032 7.002910051 7.061921451 7.727906196 7.058847195 7.788040487 7.182838619
