"cyto" "RNA" "cytokine"
"X1" "-0.208880433784753" "0.021897978514097" "GRO.alpha"
"X2" "-0.740975473409533" "-0.0974800112885592" "GRO.alpha"
"X3" "0.526970520414145" "-0.50001833522713" "GRO.alpha"
"X4" "1.5540685270141" "-0.114290814634857" "GRO.alpha"
"X5" "0.518028159127849" "0.103838858894975" "GRO.alpha"
"X6" "0.564052887221943" "-0.372515214143188" "GRO.alpha"
"X7" "0.9169323121835" "0.00856703902064055" "GRO.alpha"
"X8" "0.00339116877491629" "0.18430034138123" "GRO.alpha"
"X9" "-1.58642774919077" "-0.070804217285678" "GRO.alpha"
"X10" "-1.07830223105239" "0.236768960965316" "GRO.alpha"
"X11" "-1.10024520495858" "0.0603268727129709" "GRO.alpha"
"X12" "-1.61078190458344" "0.0288313810719049" "GRO.alpha"
"X13" "-1.34913751251574" "0.164540793540243" "GRO.alpha"
"X14" "-1.77320980160518" "-0.136343356135038" "GRO.alpha"
"X15" "-0.796996664036353" "0.35447011434877" "GRO.alpha"
"X16" "-1.43159850881009" "0.358140767861093" "GRO.alpha"
"X17" "0.078925035095837" "-0.0520055382310177" "GRO.alpha"
"X18" "-0.478224900210303" "-0.112831693894618" "GRO.alpha"
"X19" "0.187898884408764" "0.111847051458215" "GRO.alpha"
"X20" "0.508004422759761" "0.121149097552527" "GRO.alpha"
"X21" "-0.948433943688594" "0.108450440895271" "GRO.alpha"
"X22" "-0.275580639588156" "0.222223650095878" "GRO.alpha"
"X23" "-0.456603540031795" "0.37981110701888" "GRO.alpha"
"X24" "-0.570576112700032" "-0.0819578946486755" "GRO.alpha"
"X25" "-1.00919048904581" "-0.210387966446635" "GRO.alpha"
"X26" "-0.490914316048867" "-0.0156729085146506" "GRO.alpha"
"X27" "1.07038128598805" "-0.0917729554281832" "GRO.alpha"
"X28" "-0.178953751844792" "0.0845246344991243" "GRO.alpha"
"X29" "-0.0898816402780096" "0.0896123972277251" "GRO.alpha"
"X30" "0.613504084672559" "0.12202263189407" "GRO.alpha"
"X31" "1.27270206836057" "0.130447119771841" "GRO.alpha"
"X32" "0.987797558807784" "-0.375969358525545" "GRO.alpha"
"X33" "1.88290638150625" "-0.276898562885278" "GRO.alpha"
"X34" "-0.685624006118617" "0.111591664932148" "GRO.alpha"
"X35" "0.134577737777015" "0.819783632167204" "GRO.alpha"
"X36" "0.529126194538851" "-0.0667778884574775" "GRO.alpha"
"X37" "0.977535303766007" "-0.0629497095478794" "GRO.alpha"
"X38" "-0.298273711303096" "0.185837275236847" "GRO.alpha"
"X39" "0.0302506279985807" "0.136341127344196" "GRO.alpha"
"X40" "0.138206942355696" "0.173007022284807" "GRO.alpha"
"X41" "0.746730255042779" "0.0509464626706374" "GRO.alpha"
"X42" "2.29469919800859" "-0.0836282420815911" "GRO.alpha"
"X43" "0.253404095793256" "-0.00181679117263035" "GRO.alpha"
"X44" "-0.448554963926274" "-0.361611154587398" "GRO.alpha"
"X45" "0.33521287414929" "-0.203372485925067" "GRO.alpha"
"X46" "1.57200829736875" "-0.388137144764446" "GRO.alpha"
"X47" "-0.234396220575856" "-0.0709259654743557" "GRO.alpha"
"X48" "-0.870614589789118" "-0.00249436403420798" "GRO.alpha"
"X49" "-0.540828709531758" "-0.100433988524222" "GRO.alpha"
"X50" "-1.26223849130333" "0.588842563202357" "GRO.alpha"
"X51" "0.504374753740846" "0.124056723815874" "GRO.alpha"
"X52" "0.873704479185013" "-0.409785906262687" "GRO.alpha"
"X53" "0.0404747765259667" "0.288540811563525" "GRO.alpha"
"X54" "-2.01874177713547" "0.38163041823465" "GRO.alpha"
"X55" NA "0.0695516054747645" "GRO.alpha"
"X56" "-0.136755709279683" "-0.335400540550207" "GRO.alpha"
"X57" "1.34228495032367" "-0.113166342426458" "GRO.alpha"
"X58" "0.659400178329042" "-0.0743194544152854" "GRO.alpha"
"X59" "0.973671921369158" "-0.172753317480849" "GRO.alpha"
"X60" "-0.900418352203587" "0.0723079281178971" "GRO.alpha"
"X61" "-0.307694732193417" "0.0990758155864469" "GRO.alpha"
"X62" "-0.276657455575391" "0.00318498844622342" "GRO.alpha"
"X63" "0.852810499581659" "-0.506279737021129" "GRO.alpha"
"X64" "0.90004657615904" "0.336880902722243" "GRO.alpha"
"X65" "0.83237277143151" "0.162400821020274" "GRO.alpha"
"X66" "1.66724954751419" "0.44144790837443" "GRO.alpha"
"X67" "1.81277544819417" "-0.239876339813906" "GRO.alpha"
"X68" "1.41232511881613" "-0.275039445013744" "GRO.alpha"
"X69" "1.24020251560917" "0.109198487705056" "GRO.alpha"
"X70" "2.44002769134777" "0.1068490068475" "GRO.alpha"
"X71" "0.41445546063582" "-0.291071503367183" "GRO.alpha"
"X72" "-0.800613880776818" "-0.0458472143966027" "GRO.alpha"
"X73" "1.47534102879505" "-0.647567054880287" "GRO.alpha"
"X74" "-0.50767125203244" "0.183772102412026" "GRO.alpha"
"X75" "-1.78946853115226" "0.112911420960657" "GRO.alpha"
"X76" "-0.745385104218531" "-0.0240193764367101" "GRO.alpha"
"X77" "-0.802288546213794" "-0.284752096308401" "GRO.alpha"
"X78" "-2.03220013597117" "-0.163354592827179" "GRO.alpha"
"X79" "-0.404329359995566" "0.0204278238803383" "GRO.alpha"
"X80" "0.0592200899946935" "0.00801566096119375" "GRO.alpha"
"X81" "0.178983505385744" "0.0103103835190913" "GRO.alpha"
"X82" "0.0301938978022745" "0.084375557732796" "GRO.alpha"
"X83" "0.560153389715971" "0.0745659004386501" "GRO.alpha"
"X84" "-1.50440032547576" "0.131327005946377" "GRO.alpha"
"X85" "0.173814848135448" "0.187325020123166" "GRO.alpha"
"X86" "-0.735165258702101" "0.0293498439946293" "GRO.alpha"
"X87" "-0.987242484122077" "-0.00545006216355116" "GRO.alpha"
"X89" "-0.372320781430406" "-0.434433502882983" "GRO.alpha"
"X90" "0.120181884441856" "-0.279724505664549" "GRO.alpha"
"X91" "-1.61352755288543" "-0.0664503740720006" "GRO.alpha"
"X92" "-0.137606024808591" "-0.0228607211142946" "GRO.alpha"
"X93" "-1.41587985241082" "-0.267514489033262" "GRO.alpha"
"X94" "-0.108894450535674" "-0.0884533445334866" "GRO.alpha"
"X95" "-0.933673434615862" "-0.00814469981369974" "GRO.alpha"
"X96" "0.375315820218356" "-0.0155446707104969" "GRO.alpha"
"X97" "-0.277818050125863" "-0.0191486298369747" "GRO.alpha"
"X98" "0.0539887350048663" "0.647202531045711" "GRO.alpha"
