"cyto" "RNA" "cytokine"
"X1" -0.208880433784753 -0.31367641183436 "GRO.alpha"
"X2" -0.740975473409533 0.573530954435341 "GRO.alpha"
"X3" 0.526970520414145 0.73554819277644 "GRO.alpha"
"X4" 1.5540685270141 -0.0232955929037361 "GRO.alpha"
"X5" 0.518028159127849 -0.347403203560219 "GRO.alpha"
"X6" 0.564052887221943 0.240262685086251 "GRO.alpha"
"X7" 0.9169323121835 0.235010302138425 "GRO.alpha"
"X8" 0.00339116877491629 1.21666085342249 "GRO.alpha"
"X9" -1.58642774919077 0.249560321906272 "GRO.alpha"
"X10" -1.07830223105239 0.925688227543118 "GRO.alpha"
"X11" -1.10024520495858 0.380524935989009 "GRO.alpha"
"X12" -1.61078190458344 0.046631579824878 "GRO.alpha"
"X13" -1.34913751251574 0.692158690996464 "GRO.alpha"
"X14" -1.77320980160518 -0.232720432820078 "GRO.alpha"
"X15" -0.796996664036353 0.66039012325509 "GRO.alpha"
"X16" -1.43159850881009 0.455442925757778 "GRO.alpha"
"X17" 0.078925035095837 0.0813812427258575 "GRO.alpha"
"X18" -0.478224900210303 0.0661866899450583 "GRO.alpha"
"X19" 0.187898884408764 -0.200539045296356 "GRO.alpha"
"X20" 0.508004422759761 0.417977374669146 "GRO.alpha"
"X21" -0.948433943688594 -0.57982759165204 "GRO.alpha"
"X22" -0.275580639588156 -0.611004360581363 "GRO.alpha"
"X23" -0.456603540031795 -0.71311085996258 "GRO.alpha"
"X24" -0.570576112700032 0.303303651193003 "GRO.alpha"
"X25" -1.00919048904581 0.15211323532672 "GRO.alpha"
"X26" -0.490914316048867 -0.04325465817437 "GRO.alpha"
"X27" 1.07038128598805 0.12981284750153 "GRO.alpha"
"X28" -0.178953751844792 -0.316449892506463 "GRO.alpha"
"X29" -0.0898816402780096 -0.464666456498419 "GRO.alpha"
"X30" 0.613504084672559 0.193354602163678 "GRO.alpha"
"X31" 1.27270206836057 0.00133279661148692 "GRO.alpha"
"X32" 0.987797558807784 0.939727714946258 "GRO.alpha"
"X33" 1.88290638150625 0.66114645880545 "GRO.alpha"
"X34" -0.685624006118617 -0.222082213215965 "GRO.alpha"
"X35" 0.134577737777015 -0.686138401150667 "GRO.alpha"
"X36" 0.529126194538851 0.346936579376769 "GRO.alpha"
"X37" 0.977535303766007 -0.0299440273110591 "GRO.alpha"
"X38" -0.298273711303096 -0.0713636262814727 "GRO.alpha"
"X39" 0.0302506279985807 0.968465652007387 "GRO.alpha"
"X40" 0.138206942355696 0.24536780233213 "GRO.alpha"
"X41" 0.746730255042779 -0.214509891806352 "GRO.alpha"
"X42" 2.29469919800859 0.21030964489325 "GRO.alpha"
"X43" 0.253404095793256 0.0429335742765994 "GRO.alpha"
"X44" -0.448554963926274 0.303236951002959 "GRO.alpha"
"X45" 0.33521287414929 0.215761627553026 "GRO.alpha"
"X46" 1.57200829736875 0.727075697923312 "GRO.alpha"
"X47" -0.234396220575856 -0.369474897614404 "GRO.alpha"
"X48" -0.870614589789118 0.647080035665984 "GRO.alpha"
"X49" -0.540828709531758 0.213203201424892 "GRO.alpha"
"X50" -1.26223849130333 -0.431530738060105 "GRO.alpha"
"X51" 0.504374753740846 -0.777502643216938 "GRO.alpha"
"X52" 0.873704479185013 -0.316936739815282 "GRO.alpha"
"X53" 0.0404747765259667 -0.161779960724959 "GRO.alpha"
"X54" -2.01874177713547 -0.271267795255369 "GRO.alpha"
"X55" NA -0.535660483175724 "GRO.alpha"
"X56" -0.136755709279683 0.627641004320431 "GRO.alpha"
"X57" 1.34228495032367 0.51857098549239 "GRO.alpha"
"X58" 0.659400178329042 -0.214156211261747 "GRO.alpha"
"X59" 0.973671921369158 0.311226097640664 "GRO.alpha"
"X60" -0.900418352203587 0.224096563182828 "GRO.alpha"
"X61" -0.307694732193417 -0.672290424063669 "GRO.alpha"
"X62" -0.276657455575391 -0.572801426493742 "GRO.alpha"
"X63" 0.852810499581659 0.228478660271267 "GRO.alpha"
"X64" 0.90004657615904 0.415363438856106 "GRO.alpha"
"X65" 0.83237277143151 -0.607420652772647 "GRO.alpha"
"X66" 1.66724954751419 -0.244741009233413 "GRO.alpha"
"X67" 1.81277544819417 0.501569598189823 "GRO.alpha"
"X68" 1.41232511881613 0.878916398177019 "GRO.alpha"
"X69" 1.24020251560917 0.730377545076406 "GRO.alpha"
"X70" 2.44002769134777 0.0244277435465792 "GRO.alpha"
"X71" 0.41445546063582 0.605012632351765 "GRO.alpha"
"X72" -0.800613880776818 0.189962416634162 "GRO.alpha"
"X73" 1.47534102879505 -0.0652842263480463 "GRO.alpha"
"X74" -0.50767125203244 0.743382488288842 "GRO.alpha"
"X75" -1.78946853115226 -0.212574732454354 "GRO.alpha"
"X76" -0.745385104218531 0.200740236534564 "GRO.alpha"
"X77" -0.802288546213794 0.353069621249382 "GRO.alpha"
"X78" -2.03220013597117 0.017976846288002 "GRO.alpha"
"X79" -0.404329359995566 -0.475671014645591 "GRO.alpha"
"X80" 0.0592200899946935 0.60865690937122 "GRO.alpha"
"X81" 0.178983505385744 -0.643317149329229 "GRO.alpha"
"X82" 0.0301938978022745 -0.716680345839231 "GRO.alpha"
"X83" 0.560153389715971 -0.0566009595248916 "GRO.alpha"
"X84" -1.50440032547576 0.448183292645204 "GRO.alpha"
"X85" 0.173814848135448 0.439449785228912 "GRO.alpha"
"X86" -0.735165258702101 0.216688015527478 "GRO.alpha"
"X87" -0.987242484122077 -0.474846141720362 "GRO.alpha"
"X89" -0.372320781430406 -0.0178178036441465 "GRO.alpha"
"X90" 0.120181884441856 -0.481201681738597 "GRO.alpha"
"X91" -1.61352755288543 -0.172178312666061 "GRO.alpha"
"X92" -0.137606024808591 -0.433765603633189 "GRO.alpha"
"X93" -1.41587985241082 0.0987526508941854 "GRO.alpha"
"X94" -0.108894450535674 0.102257278045838 "GRO.alpha"
"X95" -0.933673434615862 1.38847160781403 "GRO.alpha"
"X96" 0.375315820218356 0.790726501355957 "GRO.alpha"
"X97" -0.277818050125863 0.436690013246637 "GRO.alpha"
"X98" 0.0539887350048663 -0.156661638881685 "GRO.alpha"
"X99" 0.199774919811807 -0.435258299123475 "GRO.alpha"
"X100" -0.0969073448537757 -0.501467522054808 "GRO.alpha"
"X101" 0.0599617916698 -0.139230593116195 "GRO.alpha"
"X102" 1.33608151833694 -0.546323170401693 "GRO.alpha"
"X103" 1.27877784788422 0.467983380226363 "GRO.alpha"
"X104" 0.297985923244705 -0.197780157747831 "GRO.alpha"
